module-name,pgm,gen-module,gen-rewrite,gen-total,mm-loading,mm-prelude,mm-rewrite,mm-total,loc-prelude,loc-module,loc-rewrite,loc-total,loc-prelude-wrapped,loc-module-wrapped,loc-rewrite-wrapped,loc-total-wrapped,size-prelude,size-module,size-rewrite,size-total
TWO-COUNTERS,pgm-10.two-counters,5.949686050415039,12.185274362564087,18.134960412979126,1.5990171432495117,3.2586989402770996,0.18596148490905762,3.4446604251861572,8034,1207,1177,10418,882400,2796,78617,963813,70276093,252923,6265473,76794489
TWO-COUNTERS,pgm-20.two-counters,6.3139729499816895,24.3320209980011,30.645993947982788,1.5905582904815674,3.4146339893341064,0.3774590492248535,3.79209303855896,8034,1207,1527,10768,882400,2796,151318,1036514,70276093,252923,12073120,82602136
TWO-COUNTERS,pgm-50.two-counters,6.4806129932403564,73.08561372756958,79.56622672080994,1.7260451316833496,3.5174827575683594,0.9835553169250488,4.501038074493408,8034,1207,2577,11818,882400,2796,373982,1259178,70276093,252923,29869534,100398550
TWO-COUNTERS,pgm-100.two-counters,6.746206045150757,177.55132246017456,184.29752850532532,1.9788148403167725,3.499246835708618,2.101663112640381,5.600909948348999,8034,1207,4327,13568,882400,2796,750357,1635553,70276093,252926,59950365,130479384
ADD8,pgm.add8,11.587271690368652,153.33599615097046,164.9232678413391,2.2995293140411377,3.3951804637908936,3.0870065689086914,6.482187032699585,8034,1587,1488,11109,882400,5366,1099020,1986786,70276093,471595,87903737,158651425
FACTORIAL5,pgm.factorial5,3.8370015621185303,34.62524604797363,38.46224761009216,1.690110206604004,3.5670526027679443,0.9044570922851562,4.471509695053101,8034,847,678,9559,882400,1817,333726,1217943,70276093,164063,26685079,97125235
FIBONACCI05,pgm.fibonacci05,4.495335102081299,12.511004209518433,17.00633931159973,1.5479397773742676,3.443262815475464,0.20795273780822754,3.6512155532836914,8034,1003,731,9768,882400,2340,86988,971728,70276093,211562,6944154,77431809
BENCHEXPR10,pgm.benchexpr10,8.407787084579468,53.21662974357605,61.62441682815552,1.6855905055999756,3.6079213619232178,0.798100471496582,4.4060218334198,8034,1929,1177,11140,882400,5993,302926,1191319,70276093,540823,24209999,95026915
BENCHSYM10,pgm.benchsym10,8.789683818817139,47.707831144332886,56.497514963150024,1.6783032417297363,3.5267539024353027,0.7202129364013672,4.24696683883667,8034,1929,1168,11131,882400,5972,275058,1163430,70276093,537409,21977723,92791225
BENCHTREE10,pgm.benchtree10,8.797581911087036,26.86300826072693,35.660590171813965,1.5795831680297852,3.4722769260406494,0.3241560459136963,3.7964329719543457,8034,1929,1127,11090,882400,5993,133089,1021482,70276093,540823,10620628,81437544
LANGTON6,pgm.langton6,5.261629343032837,23.07201099395752,28.333640336990356,1.6881983280181885,3.4562673568725586,0.4026494026184082,3.858916759490967,8034,1327,808,10169,882400,7477,158128,1048005,70276093,634753,12634010,83544856
MUL8,pgm.mul8,14.38959288597107,279.97354888916016,294.3631417751312,3.221404790878296,3.4808924198150635,7.18266749382019,10.663559913635254,8034,1845,1732,11611,882400,7380,2609400,3499180,70276093,642890,208732432,279651415
REVELT,pgm.revelt,4.9770636558532715,51.83287501335144,56.80993866920471,1.745563268661499,3.34791898727417,1.0987796783447266,4.4466986656188965,8034,1075,805,9914,882400,2444,432521,1317365,70276093,221242,34585342,105082677
REVNAT100,pgm.revnat100,4.809551954269409,123.4358983039856,128.245450258255,2.5487074851989746,3.3679451942443848,5.27941370010376,8.647358894348145,8034,1081,835,9950,882400,2582,1806951,2691933,70276093,233001,144541695,215050789
TAUTOLOGYHARD,pgm.tautologyhard,5.158000469207764,400.8908598423004,406.0488603115082,4.895947456359863,3.547140598297119,14.497483968734741,18.04462456703186,8034,1219,1116,10369,882400,2793,5999502,6884695,70276093,256571,479954009,550486673
